frequency_rank,word,meaning,transliteration,menukad,part_of_speech,root
0,של,of / belongs to,shel,,,
1,את,you (f.s.),at,,,
2,את,the (direct object),et,,,
3,על,on / about / top,al,,,
4,לא,no,lo,,,
5,הוא,he,hu,,,
6,עם,with,im,,,
7,עם,people / nation,am,,,
8,כי,because,ki,,,
9,היה,was (m.s.),haya,,,
10,זה,this / that,ze,,,
11,גם,also / too,gam,,,
12,ב,in,be,,,
13,כל,all,kol,,,
14,ה,the,ha,,,
15,בין,between / among,bein,,,
16,בין,within,bin,,,
17,או,or,o,,,
18,אל,to / God,el,,,
19,אל,don't,al,,,
20,אך,but / hardly,akh,,,
21,יותר,more,yoter,,,
22,היא,she,hi,,,
23,לאחר,after,le'akhar,,,
24,לאחר,to be late,le'akher,,,
25,לאחר,to/for the other,la'akher,,,
26,אבל,but,aval,,,
27,אבל,mourning,evel,,,
28,אבל,mourner,avel,,,
29,ל,to,le,,,
30,ל,to the,la,,,
31,היו,were (m.),hayu,,,
32,עד,until / eternity,ad,,,
33,עד,witness,ed,,,
34,זו,this (f.),zo,,,
35,הם,they (m.),hem,,,
36,אשר,that / which,asher,,,
37,הייתה,she was,haita,,,
38,בשנת,in the year [X] / in the year of,bishnat,,,
39,כך,so / like this / thus,kakh,,,
40,רק,only,rak,,,
41,אף,also / even / nose,af,,,
42,ביותר,"most, very much",beyoter,,,
43,אני,I / me,ani,,,
44,עוד,more,od,,,
45,עוד,musical instrument,ud,,,
46,רבים,many,rabim,,,
47,רבים,fighting (m.pl.),ravim,,,
48,כמו,like / as,kmo,,,
49,בית,home / house,bayit,,,
50,אם,if,im,,,
51,אם,mother,em,,,
52,זאת,this (f.),zot,,,
53,שם,there,sham,,,
54,שם,name,shem,,,
55,יש,there is / one must,yesh,,,
56,מה,what,ma,,,
57,לי,to me / for me,li,,,
58,כן,yes / sincere,ken,,,
59,כן,stand (n.),kan,,,
60,כ,like / as / approximately,ke,,,
61,לו,to him,lo,,,
62,לו,if (wishing),lu,,,
63,מספר,number,mispar,,,
64,מספר,tell (m.s.) / narrator,mesaper,,,
65,בו,in him / in it,bo,,,
66,העיר,the city,ha'ir,,,
67,העיר,made a comment / woke someone up (m.s.),he'ir,,,
68,מ,from,me,,,
69,כדי,in order to,kedei,,,
70,אותו,him / it,oto,,,
71,דבר,thing / matter / something / word / speech / saying / command / to speak / to say,davar,,,
72,דבר,plague,dever,,,
73,דבר,speak (m.s. imperative),daber,,,
74,ו,and,ve,,,
75,ו,and,u,,,
76,בכל,in all / at all,bekhol,,,
77,אלו,these,elu,,,
78,שני,second,sheni,,,
79,שני,two,shnei,,,
80,שני,scarlet,shani,,,
81,אלה,these,ele,,,
82,אלה,goddess,ela,,,
83,אלה,bat,ala,,,
84,כאשר,when / while,ka'asher,,,
85,אין,there is no,ein,,,
86,אין,nothing / naught / where,ain,,,
87,אמר,said (m.s.),amar,,,
88,באופן,in a way,beofen,,,
89,הברית,the pact / the alliance / the covenant / the circumcision,habrit,,,
90,מן,from,min,,,
91,שלא,that [is] not,shelo,,,
92,ידי,my hands,yadai,,,
93,ידי,my hand,yadi,,,
94,ידי,the hands of,yedei,,,
95,לפני,before / in front of / ago,lifnei,,,
96,הן,they (f.),hen,,,
97,העולם,the world,ha'olam,,,
98,פי,my mouth / multiplied by,pi,,,
99,במהלך,during,bemahalakh,,,
100,שלו,his / belongs to him,shelo,,,
101,שלו,calm,shalev,,,
102,בה,in her / in it,ba,,,
103,מאד,very,me'od,,,
104,ניתן,possible,nitan,,,
105,ניתן,we will give,niten,,,
106,אז,then,az,,,
107,בעל,owner / husband,ba'al,,,
108,אחרים,other (m.pl.) / others (m.),akherim,,,
109,דרך,way / road,derekh,,,
110,דרך,stepped on (m.s.),darakh,,,
111,ולא,and not,velo,,,
112,ולא,if not,valo,,,
113,חלק,part,khelek,,,
114,חלק,smooth / shared (m.s.),khalak,,,
115,אותה,her / it,ota,,,
116,בן,son,ben,,,
117,בני,my son,bni,,,
